,Entity,Code,Year,Mismanaged plastic waste to ocean per capita (kg per year),Mismanaged plastic waste per capita (kg per year)
0,Africa,,2019,0.059822761,10.46592827
1,Albania,ALB,2019,0.543214162,24.23915307
2,Algeria,DZA,2019,0.134113767,17.75899473
3,Angola,AGO,2019,0.027022781,7.445278869
4,Antigua and Barbuda,ATG,2019,0.020618557,6.463917526
5,Argentina,ARG,2019,0.09238293,10.40191152
6,Asia,,2019,0.172404698,8.667235444
7,Australia,AUS,2019,0.00126969,0.20894338
8,Bahamas,BHS,2019,0.051413882,5.686375321
9,Bahrain,BHR,2019,0.0,0.635588056
10,Bangladesh,BGD,2019,0.151122996,6.268108387
11,Barbados,BRB,2019,0.156794425,3.038327526
12,Belgium,BEL,2019,0.002946529,0.19793743
13,Belize,BLZ,2019,0.958974359,15.43846154
14,Benin,BEN,2019,0.138886535,11.29861876
15,Bosnia and Herzegovina,BIH,2019,0.001817631,16.82853681
16,Brazil,BRA,2019,0.179099739,15.62046908
17,Brunei,BRN,2019,0.309468822,1.598152425
18,Bulgaria,BGR,2019,0.001,0.445285714
19,Burkina Faso,BFA,2019,0.0,15.61429064
20,Cambodia,KHM,2019,0.067507733,15.01152423
21,Cameroon,CMR,2019,0.412389859,22.36814036
22,Canada,CAN,2019,0.006361765,0.630483013
23,Cape Verde,CPV,2019,0.0,6.487272727
24,Chile,CHL,2019,0.016990291,1.623417054
25,China,CHN,2019,0.049314957,8.559308412
26,Colombia,COL,2019,0.00856195,1.697570472
27,Comoros,COM,2019,0.0,69.51586369
28,Congo,COG,2019,0.125627207,12.13361829
29,Costa Rica,CRI,2019,0.089144216,1.139263074
30,Cote d'Ivoire,CIV,2019,0.186024808,11.33934751
31,Croatia,HRV,2019,0.054237288,4.247941889
32,Cyprus,CYP,2019,0.002502085,0.698081735
33,Democratic Republic of Congo,COD,2019,0.004839211,15.78193592
34,Denmark,DNK,2019,0.001559252,0.067567568
35,Djibouti,DJI,2019,0.004106776,10.56365503
36,Dominica,DMA,2019,0.736111111,15.02777778
37,Dominican Republic,DOM,2019,0.584411956,18.06667287
38,Ecuador,ECU,2019,0.065385058,6.262058248
39,Egypt,EGY,2019,0.024614496,14.29961748
40,El Salvador,SLV,2019,0.125193678,3.361171367
41,Equatorial Guinea,GNQ,2019,0.298672566,6.934365782
42,Eritrea,ERI,2019,0.013726051,24.0457535
43,Estonia,EST,2019,0.009049774,0.452488688
44,Europe,,2019,0.007805317,1.580226046
45,Fiji,FJI,2019,0.41011236,4.334831461
46,Finland,FIN,2019,0.0,0.473788865
47,France,FRA,2019,0.003608168,0.426531552
48,French Guiana,GUF,2019,0.024054983,0.432989691
49,Gabon,GAB,2019,0.20478601,2.757017948
50,Gambia,GMB,2019,0.179301533,14.9467632
51,Georgia,GEO,2019,0.000750563,0.076807606
52,Germany,DEU,2019,0.001604464,0.606774669
53,Ghana,GHA,2019,0.13758301,17.09520679
54,Greece,GRC,2019,0.020624463,0.430249212
55,Grenada,GRD,2019,1.160714286,12.11607143
56,Guadeloupe,GLP,2019,0.01,0.405
57,Guatemala,GTM,2019,0.406234003,17.68972186
58,Guinea,GIN,2019,0.183775742,11.58852087
59,Guinea-Bissau,GNB,2019,0.128578865,10.65330557
60,Guyana,GUY,2019,1.591315453,35.20434227
61,Haiti,HTI,2019,0.615200213,21.12829619
62,Honduras,HND,2019,0.249948697,14.97999179
63,Hong Kong,HKG,2019,0.015061861,0.777434104
64,Iceland,ISL,2019,0.0,0.445427729
65,India,IND,2019,0.092587331,9.509608
66,Indonesia,IDN,2019,0.208158135,3.045657286
67,Iran,IRN,2019,0.01119232,5.981679813
68,Iraq,IRQ,2019,0.001704401,12.51007377
69,Ireland,IRL,2019,0.02355592,0.547931176
70,Israel,ISR,2019,0.003873694,0.711351098
71,Italy,ITA,2019,0.006837325,0.640842279
72,Jamaica,JAM,2019,0.791723202,16.84972863
73,Japan,JPN,2019,0.014464764,0.281286458
74,Jordan,JOR,2019,9.9e-05,12.31686795
75,Kazakhstan,KAZ,2019,0.000700771,2.92393941
76,Kenya,KEN,2019,0.004926389,5.514455815
77,Kiribati,KIR,2019,0.0,0.627118644
78,Kuwait,KWT,2019,0.001663894,0.627525553
79,Latvia,LVA,2019,0.004719455,0.500786576
80,Lebanon,LBN,2019,0.099766628,6.800175029
81,Lesotho,LSO,2019,0.0,14.30164706
82,Liberia,LBR,2019,0.534332591,8.087907636
83,Libya,LBY,2019,0.129703409,27.81983178
84,Lithuania,LTU,2019,0.002536232,0.375724638
85,Madagascar,MDG,2019,0.028736698,0.936260151
86,Malaysia,MYS,2019,2.287887324,25.491518
87,Maldives,MDV,2019,0.0,0.11299435
88,Malta,MLT,2019,0.0,0.588636364
89,Marshall Islands,MHL,2019,0.0,0.271186441
90,Martinique,MTQ,2019,0.058510638,0.369680851
91,Mauritania,MRT,2019,0.028060097,4.594785683
