,Scenario,Plastics end of life fates,Time,Value
133,Baseline,Mismanaged,2026,87.682863
134,Baseline,Mismanaged,2027,89.032008
135,Baseline,Mismanaged,2028,90.467323
136,Baseline,Mismanaged,2029,91.938705
137,Baseline,Mismanaged,2030,93.419242
138,Baseline,Mismanaged,2031,94.914955
139,Baseline,Mismanaged,2032,96.440036
140,Baseline,Mismanaged,2033,98.01738
141,Baseline,Mismanaged,2034,99.665042
142,Baseline,Mismanaged,2035,101.377226
143,Baseline,Mismanaged,2036,103.143867
144,Baseline,Mismanaged,2037,104.956068
145,Baseline,Mismanaged,2038,106.960765
146,Baseline,Mismanaged,2039,109.004438
147,Baseline,Mismanaged,2040,111.062024
148,Baseline,Mismanaged,2041,113.129976
149,Baseline,Mismanaged,2042,115.209262
150,Baseline,Mismanaged,2043,117.316113
151,Baseline,Mismanaged,2044,119.448642
152,Baseline,Mismanaged,2045,121.570744
153,Baseline,Mismanaged,2046,123.67656
154,Baseline,Mismanaged,2047,125.749797
155,Baseline,Mismanaged,2048,127.802263
156,Baseline,Mismanaged,2049,129.831635
157,Baseline,Mismanaged,2050,131.901056
158,Baseline,Mismanaged,2051,133.958403
159,Baseline,Mismanaged,2052,135.990735
160,Baseline,Mismanaged,2053,138.010788
161,Baseline,Mismanaged,2054,140.023334
162,Baseline,Mismanaged,2055,142.086433
163,Baseline,Mismanaged,2056,144.195469
164,Baseline,Mismanaged,2057,146.302695
165,Baseline,Mismanaged,2058,148.392227
166,Baseline,Mismanaged,2059,150.471609
167,Baseline,Mismanaged,2060,152.58251
