,city,lat,lng,cluster_cities
161,Begusarai,25.42,86.13,3
162,Sonīpat,28.9958,77.0114,2
163,Rāmgundam,18.8,79.45,1
164,Hāpur,28.7437,77.7628,2
165,Uluberiya,22.47,88.11,3
166,Porbandar,21.6425,69.6047,5
167,Pāli,25.7725,73.3233,5
168,Vizianagaram,18.1167,83.4167,0
169,Puducherry,11.93,79.83,4
170,Karnāl,29.6804,76.97,2
171,Nāgercoil,8.17,77.43,4
172,Tanjore,10.8,79.15,4
173,Sambhal,28.58,78.55,2
174,Shimla,31.1033,77.1722,2
175,Ghāndīnagar,23.22,72.68,5
176,Shillong,25.5744,91.8789,3
177,New Delhi,28.7,77.2,2
178,Port Blair,11.6667,92.75,3
179,Gangtok,27.33,88.62,3
180,Kohīma,25.6667,94.1194,3
181,Itānagar,27.1,93.62,3
182,Panaji,15.48,73.83,1
183,Damān,20.417,72.85,5
184,Kavaratti,10.5626,72.6369,4
185,Panchkula,30.6915,76.8537,2
186,Kagaznāgār,19.3316,79.4661,1
187,Bengaluru,12.9716,77.5946,4
